iter	RMSE
354	197.5086109
355	197.3380675
356	196.9976133
357	196.8734515
358	196.5409253
359	196.2163363
360	195.9496602
361	195.1320292
362	194.8718794
363	194.7772637
364	194.5226419
365	192.9760097
366	192.6640595
367	192.4338561
368	192.3683182
369	192.0421631
370	191.7991864
371	191.5576048
372	191.2516229
373	190.8041045
374	190.568512
375	190.2538181
376	190.0322402
377	189.7374378
378	189.4323741
379	189.2077186
380	188.9072313
381	188.7869973
382	188.5659185
383	188.2764443
384	188.0690968
385	187.866629
386	187.6688191
387	187.4666035
388	187.3555651
389	187.2961884
390	187.2539053
391	186.9688307
392	186.6906109
393	186.5025844
394	186.4462822
395	186.4059639
396	186.1341182
397	185.9512607
398	185.2983013
399	184.3200923
400	184.0376094
401	183.9472919
402	183.5877442
403	183.5481593
404	183.3781899
405	183.1065717
406	183.053036
407	182.8072492
408	182.6094912
409	182.559089
410	182.4464024
411	182.3424912
412	182.2270983
413	182.178173
414	181.9422827
415	181.7772069
416	181.1879013
417	180.5757951
418	180.3548374
419	180.1392206
420	179.9107007
421	179.8633509
422	179.8173952
423	179.7823858
424	179.6848012
425	179.5271568
426	179.3908746
427	179.0851354
428	177.6715786
429	177.6278316
430	177.5942974
431	177.3875241
432	177.3457922
433	176.4152775
434	176.2464517
435	176.1006223
436	176.0604317
437	175.8430719
438	174.8484968
439	174.7132109
440	174.6320765
441	174.5002237
442	174.2811027
443	174.15169
444	174.121288
445	173.9204366
446	173.8361834
447	173.6994634
448	173.5024489
449	172.5986518
450	172.5687915
451	171.3035484
452	171.2664575
453	171.0446165
454	171.0150248
455	170.987697
456	170.7192068
457	170.5984555
458	170.460587
459	170.3835866
460	170.2614449
461	170.0453852
462	169.9146257
463	169.6516506
464	169.4659646
465	169.3373773
466	169.144126
467	168.9355129
468	168.516697
469	168.3130459
470	168.139811
471	167.9932469
472	167.9615378
473	167.5940768
474	167.3410642
475	167.1524702
476	167.1283397
477	167.1043765
478	166.8571388
479	166.7495566
480	166.6242165
481	166.4637115
482	166.4402204
483	165.6880381
484	165.2788742
485	165.040795
486	164.9678111
487	164.8622174
488	164.6308619
489	164.4498629
490	164.2437544
491	164.1288115
492	163.9776793
493	163.7500982
494	163.7278263
495	163.6296444
496	163.6078072
497	163.5083377
498	163.3605684
499	163.3392493
