id,price,accommodates,bedrooms,beds,review_scores_rating,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_experience,is_professional_host,is_entire_home_apt,is_private_room,is_shared_room,is_hotel_room,is_pankow,is_neukoelln,is_mitte,is_friedrichshain_kreuzberg,is_charlottenburg_wilm,is_tempelhof_schoeneberg,is_lichtenberg,is_steglitz_zehlendorf,is_treptow_koepenick,is_reinickendorf,is_marzahn_hellersdorf,is_spandau,dist_brandenburger_tor,dist_alexanderplatz,dist_reichstagsgebaeude,dist_potsdamer_platz,dist_siegessaeule,dist_tiergarten,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_washer,has_dryer,has_heating,has_tv,has_dishwasher,has_refrigerator,has_microwave,has_coffee_maker,has_hot_water,has_smoke_alarm,has_essentials,has_hair_dryer,has_iron,has_bed_linens,has_shampoo,has_free_washer,bathrooms,property_entire_rental_unit,property_private_room_in_rental_unit,property_entire_condo,property_entire_serviced_apartment,property_room_in_hotel,property_private_room_in_condo,property_entire_loft,property_private_room_in_home,property_entire_home,property_private_room_in_bed_and_breakfast,property_private_room_in_hostel,property_entire_guesthouse,property_room_in_boutique_hotel,property_shared_room_in_hostel,property_room_in_aparthotel,property_other,bedroom_density,beds_per_person,bathrooms_per_person,total_rooms,avg_dist_to_landmark,review_score_std,min_dist_to_landmark,total_amenities
37087005,56.0,1,1.0,1.0,4.96,50,4.96,4.9,4.92,4.94,4.74,4.86,2254.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.392208504464095,8.229192734973237,9.640487257059396,8.957210483627582,10.772917774855475,10.079913609186736,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,9.511988394027753,0.07782764841072128,8.229192734973237,9
37114073,76.0,2,1.0,1.0,4.5,270,4.64,4.63,4.59,4.43,4.83,4.51,2255.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6327294392705927,2.1876360949425018,3.5042788254233774,4.313173018812229,5.136158151812532,5.104524753941005,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,2.0,3.9797500473670397,0.1302561578838662,2.1876360949425018,11
37120573,79.0,2,1.0,1.0,4.9,482,4.91,4.95,4.94,4.98,4.89,4.8,5091.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.894399265337114,2.741472839400378,5.033750629006182,4.934762992166874,6.7371229564963535,6.24372243800385,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,5.097538520068459,0.05773502691896278,2.741472839400378,11
37206357,116.0,2,1.0,2.0,4.94,49,4.98,4.94,4.98,5.0,4.94,4.9,2320.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4534447521945095,1.9547728018577224,3.6417585749984536,3.353417566160706,5.215571373334547,4.66569653376763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1.0,0.75,2.5,3.7141102670522614,0.0340867241298538,1.9547728018577224,3
37276851,116.0,5,2.0,5.0,4.8,41,4.71,4.66,4.8,4.76,4.63,4.63,2248.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.980912098623586,12.160293688782415,13.248113918934596,12.426491378265004,14.099454793393708,13.38354607076032,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.0,0.3,3.5,13.049801991459939,0.07521398046336097,12.160293688782415,9
37288672,112.0,4,1.0,2.0,4.62,34,4.62,4.26,4.88,4.88,4.82,4.56,3881.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0237932182050615,7.390433557498001,5.101996430948528,4.538638888100357,3.5324390998196757,3.488408537081371,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,2.0,4.8459516219421666,0.22193950269643958,3.488408537081371,10
37307369,170.0,3,1.0,2.0,4.54,13,4.62,4.92,4.92,4.85,4.62,4.31,2281.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.740359401710716,4.372318762432968,5.964502574334348,5.4447619072994895,7.331519998205687,6.692258789280839,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,5.924286905544008,0.22647400775911614,4.372318762432968,10
37312657,126.0,2,1.0,1.0,4.92,39,4.92,5.0,4.95,4.97,5.0,4.85,4386.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5584363308503812,3.5569516640139027,3.831350850519356,2.9976116615747896,4.764974171576621,4.068977281057382,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,3.796383659932072,0.0531843156256752,2.9976116615747896,14
37321997,70.0,2,1.0,1.0,4.85,61,4.87,4.75,4.89,4.87,4.85,4.77,2376.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2733001655934455,5.083976792154016,3.4917141683342123,2.509039132079398,3.0170835544217853,2.3985882270916727,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1.25,3.5,3.2956170066124213,0.05380741673076397,2.3985882270916727,12
37328374,85.0,2,1.0,1.0,4.6,260,4.78,4.7,4.87,4.83,4.67,4.59,2513.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.186107305201839,7.599711258253626,5.081481745441649,5.200813280319747,3.336406337572717,3.903118601481697,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,5.051273088045213,0.10984838035522736,3.336406337572717,13
